"DataMessageGUID","SensorID","Sensor Name","Date","Value","Formatted Value","Battery","Raw Data","Sensor State","GatewayID","Alert Sent","Signal Strength","Voltage"
"0fc6c23f-e7d3-43f4-8257-f05e6d95ea6e","682607","LightSensor 1","11/15/2022 8:49 AM","175.04","175.04 lux","100","175.04|True|0","0","964010","False","100","3.06"
"69100de4-4f72-4021-a22b-83b7af47bdf0","682607","LightSensor 1","11/15/2022 8:19 AM","128.64","128.64 lux","100","128.64|True|0","0","964010","False","100","3.06"
"e6bb4858-908d-4152-a343-2bd76a272e48","682607","LightSensor 1","11/15/2022 7:49 AM","69.48","69.48 lux","100","69.48|True|0","0","964010","False","100","3.06"
"a5c14aa0-aa39-49c0-bc60-2fc26e45c5ff","682607","LightSensor 1","11/15/2022 7:19 AM","15.18","15.18 lux","100","15.18|True|0","0","964010","False","100","3.06"
"d7d3722d-e6b4-4dfe-a23a-f5bfdd099d5a","682607","LightSensor 1","11/15/2022 6:49 AM","9.94","9.94 lux","100","9.94|True|0","0","964010","False","100","3.06"
"b1fb337a-463a-4ab3-a1c9-ffb76e2ab956","682607","LightSensor 1","11/15/2022 6:19 AM","9.66","9.66 lux","100","9.66|True|0","0","964010","False","100","3.06"
"f3ba783b-bc38-484c-93ed-8755735e9d1c","682607","LightSensor 1","11/15/2022 5:49 AM","6.7","6.7 lux","100","6.7|True|0","0","964010","False","100","3.06"
"221cb338-a65d-44f5-b0ed-f7148fe38fa0","682607","LightSensor 1","11/15/2022 5:19 AM","0.08","0.08 lux","100","0.08|True|0","0","964010","False","100","3.06"
"db9bcc22-498c-4e59-9a38-2ef639d1f857","682607","LightSensor 1","11/15/2022 4:49 AM","0.88","0.88 lux","100","0.88|True|0","0","964010","False","100","3.06"
"b5504ac2-5f7e-4b72-bbc1-09abe35829e2","682607","LightSensor 1","11/15/2022 4:19 AM","6.06","6.06 lux","100","6.06|True|0","0","964010","False","100","3.06"
"65f1e82d-6091-458b-acc3-72429dc17606","682607","LightSensor 1","11/15/2022 3:49 AM","0.89","0.89 lux","100","0.89|True|0","0","964010","False","100","3.06"
"fec4871a-3593-4c61-8c4f-c321b0273a88","682607","LightSensor 1","11/15/2022 3:19 AM","0.1","0.1 lux","100","0.1|True|0","0","964010","False","100","3.06"
"31df70c2-f625-4423-ae00-811920fed645","682607","LightSensor 1","11/15/2022 2:49 AM","0.91","0.91 lux","100","0.91|True|0","0","964010","False","100","3.06"
"d60f7925-38c9-4a9c-a20d-b8dfafdb43f3","682607","LightSensor 1","11/15/2022 2:19 AM","0.1","0.1 lux","100","0.1|True|0","0","964010","False","100","3.06"
"64ce60eb-547e-4eaa-b54e-4fd169f25520","682607","LightSensor 1","11/15/2022 1:49 AM","0.92","0.92 lux","100","0.92|True|0","0","964010","False","100","3.06"
"6a077864-cd04-42b0-8c64-1a9e0599c5cf","682607","LightSensor 1","11/15/2022 1:19 AM","6.14","6.14 lux","100","6.14|True|0","0","964010","False","100","3.06"
"f026a148-5376-4dbd-81ab-16ec88692d52","682607","LightSensor 1","11/15/2022 12:49 AM","0.91","0.91 lux","100","0.91|True|0","0","964010","False","100","3.06"
"44342669-e046-44c6-839f-40398d8c8ce3","682607","LightSensor 1","11/15/2022 12:19 AM","0.11","0.11 lux","100","0.11|True|0","0","964010","False","100","3.06"
"9e1de5af-c3d9-4ab4-97a7-2811ca075f2d","682607","LightSensor 1","11/14/2022 11:49 PM","0.9","0.9 lux","100","0.9|True|0","0","964010","False","100","3.06"
"6fbb9abe-913b-464f-b0d9-b588d3682486","682607","LightSensor 1","11/14/2022 11:19 PM","0.28","0.28 lux","100","0.28|True|0","0","964010","False","100","3.06"
"0ad28baf-abc7-474d-84cf-d3736d75d6a4","682607","LightSensor 1","11/14/2022 10:49 PM","8.78","8.78 lux","100","8.78|True|0","0","964010","False","100","3.06"
"d4ca4870-dfc8-4846-95fd-26fc9bc09438","682607","LightSensor 1","11/14/2022 10:19 PM","7.45","7.45 lux","100","7.45|True|0","0","964010","False","100","3.05"
"bcf085a9-14a8-4fed-bb42-00839f62929f","682607","LightSensor 1","11/14/2022 9:49 PM","9.5","9.5 lux","100","9.5|True|0","0","964010","False","100","3.06"
"17af1a3e-8057-489a-9576-727475affa12","682607","LightSensor 1","11/14/2022 9:19 PM","9.15","9.15 lux","100","9.15|True|0","0","964010","False","100","3.06"
"a9fe3e7f-da3c-4a30-8966-d3488715915b","682607","LightSensor 1","11/14/2022 8:49 PM","7.69","7.69 lux","100","7.69|True|0","0","964010","False","100","3.06"
"e0b50215-4fac-499e-81d8-43942d750a68","682607","LightSensor 1","11/14/2022 8:19 PM","9.59","9.59 lux","100","9.59|True|0","0","964010","False","100","3.06"
"04dd00f0-24cb-41f8-af5e-050155e7782f","682607","LightSensor 1","11/14/2022 7:49 PM","9.73","9.73 lux","100","9.73|True|0","0","964010","False","100","3.06"
"ea560694-8546-414a-83db-28e2fca4b560","682607","LightSensor 1","11/14/2022 7:19 PM","9.83","9.83 lux","100","9.83|True|0","0","964010","False","100","3.06"
"c7e6d89c-d917-4608-b32e-12f8787b031a","682607","LightSensor 1","11/14/2022 6:49 PM","9.83","9.83 lux","100","9.83|True|0","0","964010","False","100","3.06"
