"DataMessageGUID","SensorID","Sensor Name","Date","Value","Formatted Value","Battery","Raw Data","Sensor State","GatewayID","Alert Sent","Signal Strength","Voltage"
"3b16a952-096b-46eb-bdc5-fca546095396","687589","CO2 Meter - 1","11/17/2022 9:39 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 186 ppm","100","0|186|0|48424","0","964010","False","100","3.12"
"265a3b05-8d4e-4dd2-8d47-42f37a7eefab","687589","CO2 Meter - 1","11/17/2022 9:24 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 198 ppm","100","0|198|0|48424","0","964010","False","100","3.11"
"0a124898-dbc1-4eb8-b560-5c1dbf5115c4","687589","CO2 Meter - 1","11/17/2022 9:09 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 207 ppm","100","0|207|0|48424","0","964010","False","100","3.12"
"ab963918-2f98-4352-9b46-a47e55979be6","687589","CO2 Meter - 1","11/17/2022 9:09 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 207 ppm","100","0|207|0|48424","0","964010","False","100","3.12"
"3029f430-965a-471f-8e30-07107ed7e748","687589","CO2 Meter - 1","11/17/2022 8:54 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 227 ppm","100","0|227|0|48424","0","964010","False","100","3.12"
"19d7745c-f0d8-484d-bb77-8810330db6a5","687589","CO2 Meter - 1","11/17/2022 8:54 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 227 ppm","100","0|227|0|48424","0","964010","False","100","3.12"
"64f92321-3cd1-4a53-82da-9e15a5ddf893","687589","CO2 Meter - 1","11/17/2022 8:39 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 236 ppm","100","0|236|0|48424","0","964010","False","100","3.12"
"3d6c426d-61ad-4913-aab6-bf019acbb441","687589","CO2 Meter - 1","11/17/2022 8:39 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 236 ppm","100","0|236|0|48424","0","964010","False","100","3.12"
"9e2d898a-d225-4e16-a4e8-380edd45f446","687589","CO2 Meter - 1","11/17/2022 8:24 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 254 ppm","100","0|254|0|48424","0","964010","False","100","3.12"
"1d027a1d-6396-46ec-9670-87b673e18338","687589","CO2 Meter - 1","11/17/2022 8:24 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 254 ppm","100","0|254|0|48424","0","964010","False","100","3.12"
"52a09e1d-3676-43bd-921f-2a965a5aa426","687589","CO2 Meter - 1","11/17/2022 8:09 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 262 ppm","100","0|262|0|48424","0","964010","False","100","3.12"
"1bca6e21-2812-4483-adfd-e37d3380fee4","687589","CO2 Meter - 1","11/17/2022 7:54 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 276 ppm","100","0|276|0|48424","0","964010","False","100","3.12"
"b806e4a3-8dd1-4b25-b9e0-f6d32233a4a3","687589","CO2 Meter - 1","11/17/2022 7:39 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 282 ppm","100","0|282|0|48424","0","964010","False","100","3.12"
"efbd4dd6-8f1d-49cd-95e9-d8e3a74e8f38","687589","CO2 Meter - 1","11/17/2022 7:24 PM","20","CO2 Instantaneous: 20 ppm; CO2 TWA: 296 ppm","100","20|296|0|48424","0","964010","False","100","3.12"
"b28332ef-01af-4a4e-92a3-fc17fc220cb6","687589","CO2 Meter - 1","11/17/2022 7:24 PM","20","CO2 Instantaneous: 20 ppm; CO2 TWA: 296 ppm","100","20|296|0|48424","0","964010","False","100","3.12"
"c32b91b9-ab45-43ff-bed8-6e95e32cc290","687589","CO2 Meter - 1","11/17/2022 7:09 PM","15","CO2 Instantaneous: 15 ppm; CO2 TWA: 304 ppm","100","15|304|0|48424","0","964010","False","100","3.12"
"b550483b-243e-4a1d-b429-9029b6800417","687589","CO2 Meter - 1","11/17/2022 6:54 PM","23","CO2 Instantaneous: 23 ppm; CO2 TWA: 319 ppm","100","23|319|0|48424","0","964010","False","100","3.12"
"ab5f6023-cad5-459b-b58b-0e2382fb7803","687589","CO2 Meter - 1","11/17/2022 6:39 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 325 ppm","100","0|325|0|48424","0","964010","False","100","3.12"
"fe302640-1d04-4690-b1b7-c43191d6909f","687589","CO2 Meter - 1","11/17/2022 6:39 PM","0","CO2 Instantaneous: 0 ppm; CO2 TWA: 325 ppm","100","0|325|0|48424","0","964010","False","100","3.12"
"ef73e431-8cf2-4c9f-ac89-907a858626ed","687589","CO2 Meter - 1","11/17/2022 6:24 PM","71","CO2 Instantaneous: 71 ppm; CO2 TWA: 336 ppm","100","71|336|0|48424","0","964010","False","100","3.12"
"c552e624-4a5f-4ad3-8a8b-159d868724f8","687589","CO2 Meter - 1","11/17/2022 6:09 PM","73","CO2 Instantaneous: 73 ppm; CO2 TWA: 339 ppm","100","73|339|0|48424","0","964010","False","100","3.12"
"22a3754f-0827-4b35-8b37-8f83e10b11f1","687589","CO2 Meter - 1","11/17/2022 5:54 PM","78","CO2 Instantaneous: 78 ppm; CO2 TWA: 342 ppm","100","78|342|0|48424","0","964010","False","100","3.11"
